                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                  1.973,                  1.149,                 2.2138,                  1.837,                 1.7165,                  2.151,                0.43747,                0.49172,                0.48118,                0.23077,                 2.0181,                 2.1277,                 3.0684,                 1.7359,                 2.8817,                 2.8198,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.7014,                 1.0722,                  1.944,                 1.6752,                 1.6691,                 1.9224,                0.38979,                0.63158,                0.50965,                0.26721,                 1.7715,                 2.0457,                   2.72,                 1.5529,                 2.7407,                 2.6002,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.6832,                 1.1384,                 1.9878,                 1.6917,                 1.7034,                 1.9965,                0.55818,                0.68421,                0.66578,                0.33923,                  1.647,                 2.2897,                  2.564,                  1.511,                 2.8418,                 2.4402,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.7193,                 1.2081,                 2.0838,                 1.7295,                 1.7957,                 2.1259,                0.48386,                0.78947,                0.62617,                0.30965,                 1.6339,                 2.4156,                 2.5151,                   1.49,                 3.0588,                 2.4459,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.6523,                 1.2662,                 2.0708,                  1.591,                    1.9,                 2.0392,                0.63153,                0.47368,                0.55739,                0.19109,                 2.0411,                 2.4019,                  2.932,                 1.9818,                 2.9724,                 2.9995,               0.001208,               0.001208,               0.001208
                     83,                 1.6868,                 1.1601,                 2.0072,                 1.7091,                 1.8524,                 2.0212,                0.58009,                0.50966,                0.53864,                  0.162,                 2.0992,                   2.26,                 2.9999,                 2.0057,                 2.9632,                 3.0247,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.5513,                0.98116,                 1.7496,                 1.4747,                 1.5406,                 1.7351,                0.48648,                0.63158,                0.55108,                0.21061,                 1.9055,                 1.9778,                 2.9051,                 1.7738,                 2.8496,                 2.8737,              0.0011882,              0.0011882,              0.0011882
                     85,                 1.6926,                 1.1956,                 2.0049,                 1.6638,                 1.8051,                 1.9653,                0.52887,                0.47271,                0.48739,                0.21232,                 1.7356,                 1.9124,                  2.772,                 1.7286,                 3.0051,                 2.9109,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.7077,                 1.1586,                 2.1797,                 1.6804,                 1.8494,                 2.1535,                0.44369,                0.73684,                0.46422,                0.21754,                 1.7262,                 1.9945,                 2.6072,                 1.4942,                 3.3149,                 2.6131,              0.0011684,              0.0011684,              0.0011684
                     87,                 1.5336,                 1.1722,                 1.9051,                 1.7719,                 1.7967,                 2.0171,                0.50918,                0.63158,                0.54694,                0.25082,                 1.6835,                 2.0999,                 2.5994,                 1.4467,                 3.0686,                 2.6633,              0.0011585,              0.0011585,              0.0011585
